source,target,date,site,MOV,value,,school,wins,loses,Tourney Rank,CBS Rank,My Rank (Out of 64),Rank Delta,Offense Score,Defense Score,MOV,Offense Adjust,Defense Adjust,MOV Adjusted,RPI,CBS SOS,My SOS,Team Value,,,,,,,,,,,,,,,
Bucknell,Princeton,Dec. 22,Home,2,-0.11,,Virginia Tech,22,10,9,48,43,-2,79.3,74.4,4.8,62.2,68.7,-6.5,58%,15,110.7,-0.7,,,,,,,,,,,,,,,
Bucknell,Vanderbilt,Nov. 21,Away,3,0.10,,Northwestern,23,11,8,51,44,-3,71.1,65.1,6.0,53.2,60.1,-6.9,58%,37,108.7,-0.8,,,,,,,,,,,,,,,
Butler,Arizona,Nov. 25,Neutral,4,0.29,,Marquette,19,12,10,61,45,-2,82.5,75.0,7.5,65.8,68.3,-2.5,57%,6,105.2,-0.8,,,,,,,,,,,,,,,
Butler,Bucknell,Nov. 19,Home,26,0.23,,New Mexico State,25,5,14,59,46,2,77.4,68.1,9.4,47.1,74.2,-27.1,57%,46,199.1,-0.9,,,,,,,,,,,,,,,
Butler,Cincinnati,Dec. 10,Home,10,0.31,,E. Tennessee State,25,7,13,55,47,1,79.6,69.4,10.2,49.8,74.5,-24.6,57%,50,181.3,-0.9,,,,,,,,,,,,,,,
Butler,Creighton,Jan. 11,Away,11,-0.31,,Florida Gulf Coast,23,7,14,85,48,2,76.4,70.4,6.1,47.6,75.9,-28.3,54%,43,209.8,-1.1,,,,,,,,,,,,,,,
Butler,Creighton,Jan. 31,Home,9,-0.29,,Xavier,21,13,11,37,49,-2,74.6,71.4,3.3,60.1,63.3,-3.2,59%,21,89.5,-1.1,,,,,,,,,,,,,,,
Butler,Marquette,Feb. 7,Away,3,0.08,,Bucknell,26,8,13,63,50,0,76.1,67.4,8.8,47.6,71.4,-23.8,56%,62,194.6,-1.2,,,,,,,,,,,,,,,
Butler,Marquette,Jan. 16,Home,8,0.15,,Princeton,22,6,12,47,51,-1,70.8,62.0,8.8,44.6,64.0,-19.4,58%,30,194.1,-1.3,,,,,,,,,,,,,,,
Butler,Northwestern,Nov. 16,Home,2,0.05,,Kansas State,20,13,11,57,52,-2,71.7,66.9,4.8,56.8,59.3,-2.5,57%,25,112.4,-1.4,,,,,,,,,,,,,,,
Butler,Seton Hall,Jan. 25,Away,7,0.16,,Michigan State,19,14,9,50,53,-5,71.7,68.4,3.4,58.2,59.5,-1.3,58%,10,89.1,-1.4,,,,,,,,,,,,,,,
Butler,Seton Hall,Mar. 4,Home,6,-0.27,,Vanderbilt,19,15,9,38,54,-5,71.3,68.1,3.1,59.0,59.0,0.0,59%,19,80.4,-1.9,,,,,,,,,,,,,,,
Butler,Vanderbilt,Nov. 24,Neutral,10,0.21,,North Dakota,19,9,15,144,55,1,78.7,74.3,4.4,45.9,84.9,-39.1,52%,41,230.7,-2.7,,,,,,,,,,,,,,,
Butler,Vermont,Dec. 21,Home,12,0.20,,Northern Kentucky,22,10,15,87,56,1,74.9,71.8,3.0,46.0,78.9,-32.9,54%,54,198.8,-3.4,,,,,,,,,,,,,,,
Butler,Villanova,Feb. 22,Away,8,0.44,,Troy,20,14,15,147,57,0,75.7,72.1,3.6,47.5,78.7,-31.2,51%,63,194.1,-3.5,,,,,,,,,,,,,,,
Butler,Villanova,Jan. 4,Home,8,0.44,,Iona,22,12,14,88,58,-1,80.5,76.4,4.1,51.6,82.8,-31.2,54%,58,183.1,-3.7,,,,,,,,,,,,,,,
Butler,Xavier,Feb. 26,Away,9,0.20,,Kent State,21,13,14,142,59,-1,75.9,72.8,3.1,47.0,80.2,-33.1,52%,64,186.2,-3.9,,,,,,,,,,,,,,,
Butler,Xavier,Jan. 14,Home,5,0.15,,Texas Southern,23,11,16,105,60,1,74.4,71.8,2.6,46.2,75.9,-29.7,53%,60,238.6,-4.0,,,,,,,,,,,,,,,
Butler,Xavier,Mar. 9,Neutral,5,-0.23,,Jacksonville State,18,14,15,151,61,-1,69.0,68.2,0.9,41.9,74.3,-32.4,51%,55,209.5,-5.0,,,,,,,,,,,,,,,
Cincinnati,Butler,Dec. 10,Away,10,-0.25,,UC Davis,20,12,16,166,62,0,69.4,68.9,0.5,39.8,77.7,-37.9,50%,61,240.0,-5.0,,,,,,,,,,,,,,,
Cincinnati,Iowa State,Dec. 1,Away,1,0.05,,Mount St. Mary's,19,15,16,150,63,0,68.3,68.6,-0.3,42.8,72.5,-29.6,51%,59,209.6,-5.1,,,,,,,,,,,,,,,
Cincinnati,Rhode Island,Nov. 19,Neutral,5,-0.22,,South Dakota State,16,16,16,155,64,0,77.1,78.2,-1.1,48.2,86.6,-38.4,51%,52,180.1,-6.4,,,,,,,,,,,,,,,
Cincinnati,SMU,Feb. 12,Away,9,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,SMU,Jan. 12,Home,2,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,SMU,Mar. 12,Neutral,15,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Texas Southern,Dec. 13,Home,38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Xavier,Jan. 26,Home,8,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Butler,Jan. 11,Home,11,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Butler,Jan. 31,Away,9,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
